city,time,wea,tem,wind,wind_level
香港,周三（30日）,多云,25℃/22℃,东风转东北风,3-4级
香港,周四（31日）,多云转阴,25℃/21℃,东风转东北风,3-4级
香港,周五（1日）,阴,26℃/22℃,东北风转东风,3-4级
香港,周六（2日）,阴转多云,26℃/22℃,东风转东北风,3-4级
香港,周日（3日）,阴转多云,26℃/22℃,东风,4-5级
香港,周一（4日）,多云,25℃/21℃,东风转东北风,3-4级
香港,周二（5日）,多云转晴,25℃/21℃,东风转东北风,3-4级
福州,周二（29日）,多云,23℃/15℃,无持续风向转东北风,<3级
福州,周三（30日）,晴,23℃/14℃,东北风,<3级
福州,周四（31日）,多云,23℃/13℃,东北风,<3级
福州,周五（1日）,阴,23℃/15℃,东北风转北风,<3级
福州,周六（2日）,多云,24℃/15℃,东北风,<3级
福州,周日（3日）,多云转雨,23℃/14℃,东北风,<3级
福州,周一（4日）,晴,22℃/14℃,东北风,<3级
福州,周二（5日）,多云,23℃/15℃,东风转东北风,<3级
杭州,周二（29日）,多云,25℃/11℃,无持续风向转北风,<3级
杭州,周三（30日）,多云转阴,21℃/11℃,东南风,<3级
杭州,周四（31日）,晴,22℃/10℃,东风转西北风,<3级
杭州,周五（1日）,晴,23℃/11℃,东风转东南风,<3级
杭州,周六（2日）,晴转多云,23℃/12℃,东北风转北风,<3级
杭州,周日（3日）,多云,20℃/9℃,东北风转东风,<3级
杭州,周一（4日）,晴转多云,20℃/11℃,东南风,<3级
杭州,周二（5日）,晴转多云,23℃/13℃,东南风转北风,<3级
银川,周二（29日）,晴转多云,18℃/2℃,无持续风向转西北风,<3级
银川,周三（30日）,晴,15℃/5℃,西南风转南风,<3级
银川,周四（31日）,阴转多云,15℃/5℃,北风转南风,<3级
银川,周五（1日）,晴,15℃/5℃,西风转东北风,<3级
银川,周六（2日）,晴,14℃/7℃,东南风,<3级
银川,周日（3日）,多云,15℃/7℃,南风,<3级
银川,周一（4日）,多云,16℃/8℃,东风,<3级
银川,周二（5日）,晴转多云,15℃/7℃,西北风,<3级
太原,周二（29日）,晴,21℃/3℃,西南风转西风,3-4级转<3级
太原,周三（30日）,晴,15℃/4℃,西风,<3级
太原,周四（31日）,晴转阴,16℃/6℃,南风转西北风,<3级
太原,周五（1日）,多云转晴,18℃/7℃,西北风,<3级
太原,周六（2日）,晴,16℃/5℃,东风转东南风,<3级
太原,周日（3日）,晴,15℃/6℃,南风转西南风,<3级
太原,周一（4日）,多云转晴,17℃/8℃,西南风,<3级
太原,周二（5日）,多云,17℃/7℃,南风转东南风,<3级
济南,周二（29日）,多云,22℃/7℃,南风,<3级
济南,周三（30日）,晴,19℃/8℃,西南风,<3级
济南,周四（31日）,晴,20℃/9℃,西北风转南风,<3级
济南,周五（1日）,多云转晴,22℃/11℃,西风转东北风,<3级
济南,周六（2日）,晴,19℃/5℃,东北风,<3级
济南,周日（3日）,晴,16℃/7℃,东南风转南风,<3级
济南,周一（4日）,晴,20℃/10℃,西南风转南风,<3级
济南,周二（5日）,多云转阴,20℃/8℃,北风转东北风,<3级
南京,周二（29日）,多云,24℃/9℃,东北风,<3级
南京,周三（30日）,阴,21℃/11℃,南风转东风,<3级
南京,周四（31日）,晴,23℃/11℃,西风转东北风,<3级
南京,周五（1日）,晴,23℃/12℃,东南风,<3级
南京,周六（2日）,晴,25℃/12℃,东北风,<3级
南京,周日（3日）,晴,21℃/10℃,东北风转东风,<3级
南京,周一（4日）,晴,21℃/11℃,东南风,<3级
南京,周二（5日）,多云转阴,24℃/13℃,东南风,<3级
合肥,周二（29日）,多云,22℃/9℃,东南风转东北风,<3级
合肥,周三（30日）,阴,22℃/11℃,南风转西风,<3级
合肥,周四（31日）,晴,24℃/11℃,西北风转东南风,<3级
合肥,周五（1日）,晴,25℃/14℃,东风,<3级
合肥,周六（2日）,晴,26℃/13℃,北风转东北风,<3级
合肥,周日（3日）,晴,21℃/11℃,东北风转东风,<3级
合肥,周一（4日）,晴,22℃/12℃,东风,<3级
合肥,周二（5日）,多云转阴,25℃/13℃,东南风转东北风,<3级
南昌,周二（29日）,晴转多云,24℃/12℃,东北风转北风,<3级
南昌,周三（30日）,多云转阴,25℃/13℃,东北风转北风,<3级
南昌,周四（31日）,晴,26℃/13℃,北风转东北风,<3级
南昌,周五（1日）,晴转多云,26℃/14℃,北风,<3级
南昌,周六（2日）,多云转阴,27℃/15℃,东北风转北风,<3级
南昌,周日（3日）,阴,25℃/13℃,北风,<3级
南昌,周一（4日）,多云,25℃/13℃,东北风转东风,<3级
南昌,周二（5日）,多云转阴,26℃/16℃,东南风转东北风,<3级
长沙,周二（29日）,多云,22℃/11℃,西北风转北风,<3级
长沙,周三（30日）,多云,23℃/13℃,北风,<3级
长沙,周四（31日）,晴,25℃/13℃,北风,<3级
长沙,周五（1日）,晴转多云,26℃/15℃,北风,<3级
长沙,周六（2日）,阴,27℃/16℃,北风,<3级
长沙,周日（3日）,阴,27℃/15℃,北风转东北风,<3级
长沙,周一（4日）,多云,25℃/15℃,东南风,<3级
长沙,周二（5日）,多云转阴,26℃/17℃,南风转东北风,<3级
武汉,周二（29日）,晴转阴,23℃/11℃,西北风转北风,<3级
武汉,周三（30日）,阴转多云,24℃/12℃,西风,<3级
武汉,周四（31日）,晴,26℃/13℃,西北风转东南风,<3级
武汉,周五（1日）,晴,27℃/15℃,东南风转北风,<3级
武汉,周六（2日）,晴转多云,28℃/16℃,东北风,<3级
武汉,周日（3日）,多云,25℃/13℃,东北风转东风,<3级
武汉,周一（4日）,多云,25℃/15℃,东南风,<3级
武汉,周二（5日）,多云转阴,26℃/16℃,东北风,<3级
广州,周二（29日）,阵雨转多云,29℃/18℃,北风,4-5级转<3级
广州,周三（30日）,晴转多云,28℃/19℃,北风,<3级
广州,周四（31日）,多云转阴,28℃/18℃,北风,<3级
广州,周五（1日）,阴,29℃/19℃,东北风转北风,<3级
广州,周六（2日）,多云转阴,30℃/20℃,东北风转北风,<3级
广州,周日（3日）,多云,28℃/20℃,东北风转北风,<3级
广州,周一（4日）,多云,29℃/19℃,东北风转北风,<3级
广州,周二（5日）,晴,29℃/19℃,东北风转北风,<3级
南宁,周二（29日）,小雨转多云,23℃/15℃,东北风转北风,<3级
南宁,周三（30日）,多云,25℃/16℃,东北风转西北风,<3级
南宁,周四（31日）,多云,26℃/15℃,东北风转西北风,<3级
南宁,周五（1日）,阴,26℃/16℃,东北风转北风,<3级
南宁,周六（2日）,阴,27℃/17℃,北风,<3级
南宁,周日（3日）,阴,24℃/16℃,东北风转北风,<3级
南宁,周一（4日）,阴转多云,25℃/17℃,北风转西北风,<3级
南宁,周二（5日）,多云,27℃/17℃,东南风,<3级
贵阳,周二（29日）,多云转阴,18℃/9℃,北风转东北风,<3级
贵阳,周三（30日）,雨转多云,17℃/9℃,北风,<3级
贵阳,周四（31日）,多云转阴,18℃/9℃,北风转东北风,<3级
贵阳,周五（1日）,阴,18℃/10℃,东北风,<3级
贵阳,周六（2日）,阴,19℃/11℃,东风,<3级
贵阳,周日（3日）,阴,18℃/10℃,东风转东南风,<3级
贵阳,周一（4日）,阴,18℃/12℃,南风,<3级
贵阳,周二（5日）,阴,18℃/13℃,南风转东南风,<3级
昆明,周二（29日）,小雨转雨,20℃/11℃,无持续风向转东南风,<3级
昆明,周三（30日）,雨转阴,17℃/11℃,东北风转东风,<3级
昆明,周四（31日）,多云,18℃/9℃,西南风转南风,<3级
昆明,周五（1日）,雨转阴,19℃/9℃,西南风转东南风,<3级
昆明,周六（2日）,雨转阴,18℃/9℃,东南风转东风,<3级
昆明,周日（3日）,雨转阴,18℃/9℃,东南风,<3级
昆明,周一（4日）,阴,18℃/9℃,南风,<3级
昆明,周二（5日）,多云转阴,18℃/9℃,西南风,<3级
成都,周二（29日）,多云转阴,18℃/12℃,无持续风向转北风,<3级
成都,周三（30日）,多云转阴,19℃/12℃,东南风转西南风,<3级
成都,周四（31日）,多云转阴,20℃/13℃,东南风转东北风,<3级
成都,周五（1日）,雨,20℃/14℃,东南风转东风,<3级
成都,周六（2日）,雨,16℃/13℃,东北风,<3级
成都,周日（3日）,雨转多云,17℃/13℃,东北风,<3级
成都,周一（4日）,多云,19℃/13℃,东南风转东风,<3级
成都,周二（5日）,多云,20℃/14℃,东南风转东北风,<3级
拉萨,周二（29日）,多云,14℃/1℃,无持续风向转东风,<3级
拉萨,周三（30日）,多云转阴,10℃/1℃,南风转东南风,<3级
拉萨,周四（31日）,多云转雨,10℃/1℃,西南风转南风,<3级
拉萨,周五（1日）,雨转雨夹雪,7℃/0℃,南风,<3级
拉萨,周六（2日）,雨转晴,5℃/-1℃,南风,<3级
拉萨,周日（3日）,晴,5℃/-1℃,南风转东南风,<3级
拉萨,周一（4日）,多云,5℃/0℃,南风转东南风,3-4级转<3级
拉萨,周二（5日）,多云转雨夹雪,5℃/0℃,南风,<3级
西宁,周二（29日）,多云转晴,13℃/-1℃,西风转北风,<3级
西宁,周三（30日）,晴转阴,10℃/0℃,西风转东风,<3级
西宁,周四（31日）,多云转晴,10℃/0℃,西风转北风,<3级
西宁,周五（1日）,晴,9℃/0℃,东风转南风,<3级
西宁,周六（2日）,晴转多云,9℃/1℃,东风转东北风,<3级
西宁,周日（3日）,多云,10℃/2℃,东北风转东南风,<3级
西宁,周一（4日）,多云转晴,10℃/2℃,东风转东北风,<3级
西宁,周二（5日）,多云转雨,10℃/2℃,东风,<3级
乌鲁木齐,周二（29日）,晴,20℃/6℃,无持续风向转东南风,<3级
乌鲁木齐,周三（30日）,晴,15℃/5℃,东南风转南风,<3级
乌鲁木齐,周四（31日）,多云,14℃/5℃,东北风转东南风,<3级
乌鲁木齐,周五（1日）,多云,13℃/5℃,北风转东南风,<3级
乌鲁木齐,周六（2日）,多云,12℃/4℃,西北风转东北风,<3级
乌鲁木齐,周日（3日）,多云,12℃/4℃,北风转东南风,<3级
乌鲁木齐,周一（4日）,多云,13℃/4℃,西风转东风,<3级
乌鲁木齐,周二（5日）,晴,13℃/4℃,东南风转东风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
西安,周二（29日）,晴转雪,10℃/-2℃,西北风转西风,<3级
西安,周三（30日）,多云转阴,4℃/-2℃,西风转西南风,3-4级转<3级
西安,周四（31日）,晴转多云,8℃/0℃,西南风,3-4级转<3级
西安,周五（1日）,多云转晴,11℃/1℃,西风转西南风,3-4级转<3级
西安,周六（2日）,雨夹雪,7℃/-2℃,西北风转西风,3-4级转<3级
西安,周日（3日）,雨夹雪转雪,4℃/-2℃,西风转西南风,<3级
西安,周一（4日）,雨夹雪转雪,5℃/-2℃,西风,<3级
西安,周二（5日）,多云转晴,4℃/-3℃,北风转东南风,<3级
郑州,周二（29日）,晴转多云,22℃/8℃,西风转西南风,4-5级转<3级
郑州,周三（30日）,多云转晴,21℃/11℃,西风转西北风,<3级
郑州,周四（31日）,晴转多云,22℃/11℃,西北风转西南风,<3级
郑州,周五（1日）,多云转晴,25℃/13℃,西风转西北风,<3级
郑州,周六（2日）,晴,24℃/9℃,东北风转北风,<3级
郑州,周日（3日）,晴,18℃/10℃,东风转东南风,<3级
郑州,周一（4日）,晴,22℃/11℃,南风转东风,<3级
郑州,周二（5日）,多云,24℃/11℃,东北风,<3级
呼和浩特,周二（29日）,晴,13℃/0℃,西北风转西风,3-4级转<3级
呼和浩特,周三（30日）,阴转晴,9℃/1℃,西南风,<3级
呼和浩特,周四（31日）,晴转多云,10℃/2℃,西南风转西风,<3级
呼和浩特,周五（1日）,晴,12℃/1℃,西风转北风,<3级
呼和浩特,周六（2日）,晴,8℃/2℃,南风,<3级
呼和浩特,周日（3日）,晴转多云,10℃/3℃,西南风,<3级
呼和浩特,周一（4日）,晴转多云,12℃/3℃,西南风转南风,<3级
呼和浩特,周二（5日）,阴转多云,9℃/4℃,南风,<3级
石家庄,周二（29日）,多云转晴,19℃/7℃,北风转西南风,<3级
石家庄,周三（30日）,晴,20℃/9℃,西风,<3级
石家庄,周四（31日）,晴转多云,21℃/10℃,西南风转西风,<3级
石家庄,周五（1日）,多云转晴,23℃/11℃,东南风转北风,<3级
石家庄,周六（2日）,晴,19℃/6℃,东风转东南风,<3级
石家庄,周日（3日）,晴,17℃/7℃,南风转西南风,<3级
石家庄,周一（4日）,晴,21℃/9℃,南风转东风,<3级
石家庄,周二（5日）,多云转晴,21℃/6℃,东风转北风,<3级
沈阳,周二（29日）,多云转晴,11℃/0℃,西北风转南风,3-4级转<3级
沈阳,周三（30日）,晴转多云,12℃/4℃,南风,<3级
沈阳,周四（31日）,多云转晴,16℃/7℃,南风,<3级
沈阳,周五（1日）,多云转晴,18℃/6℃,北风转东北风,<3级
沈阳,周六（2日）,晴,11℃/1℃,北风转东南风,<3级
沈阳,周日（3日）,晴,11℃/1℃,南风,<3级
沈阳,周一（4日）,多云转晴,13℃/3℃,西南风转北风,3-4级转<3级
沈阳,周二（5日）,多云转阴,10℃/2℃,北风,<3级
长春,周二（29日）,雨夹雪转晴,2℃/-3℃,西北风转西南风,3-4级
长春,周三（30日）,多云,6℃/-1℃,西风转西南风,4-5级转<3级
长春,周四（31日）,阴,11℃/3℃,西南风,<3级
长春,周五（1日）,晴,13℃/1℃,西南风转西风,3-4级
长春,周六（2日）,晴,7℃/0℃,西风转西南风,3-4级
长春,周日（3日）,晴,7℃/0℃,西南风,3-4级
长春,周一（4日）,多云,8℃/-2℃,西南风转西北风,3-4级转<3级
长春,周二（5日）,雨夹雪,3℃/-1℃,东北风转东南风,<3级
哈尔滨,周二（29日）,多云转晴,5℃/-2℃,西南风转南风,3-4级转<3级
哈尔滨,周三（30日）,多云转晴,5℃/0℃,南风转西南风,3-4级转<3级
哈尔滨,周四（31日）,晴,9℃/1℃,西南风,3-4级转<3级
哈尔滨,周五（1日）,晴,11℃/1℃,西北风转西风,3-4级
哈尔滨,周六（2日）,晴转雪,7℃/-2℃,西风转南风,3-4级
哈尔滨,周日（3日）,雨夹雪,4℃/-1℃,南风转西南风,3-4级转<3级
哈尔滨,周一（4日）,雨夹雪转多云,5℃/-2℃,西风转北风,<3级
哈尔滨,周二（5日）,晴,3℃/-3℃,北风转东风,<3级
重庆,周二（29日）,晴转雨,22℃/14℃,无持续风向转东北风,<3级
重庆,周三（30日）,雨转阴,21℃/13℃,东风转西南风,<3级
重庆,周四（31日）,晴转多云,22℃/13℃,东北风,<3级
重庆,周五（1日）,晴,24℃/15℃,东北风转东风,<3级
重庆,周六（2日）,多云转雨,24℃/16℃,北风转东北风,<3级
重庆,周日（3日）,雨转多云,21℃/15℃,东南风转东风,<3级
重庆,周一（4日）,多云,22℃/16℃,东南风转东风,<3级
重庆,周二（5日）,多云,23℃/16℃,北风转东北风,<3级
上海,周二（29日）,多云,22℃/12℃,北风,3-4级转<3级
上海,周三（30日）,多云转阴,19℃/13℃,东南风转南风,<3级
上海,周四（31日）,晴,20℃/13℃,西南风转北风,<3级
上海,周五（1日）,晴,20℃/15℃,东风转东南风,<3级
上海,周六（2日）,晴,21℃/15℃,东北风转北风,<3级转3-4级
上海,周日（3日）,晴转多云,19℃/14℃,北风,<3级
上海,周一（4日）,晴,19℃/15℃,东风转东南风,<3级
上海,周二（5日）,晴转多云,21℃/16℃,东南风转北风,3-4级
天津,周二（29日）,晴,18℃/5℃,西南风,<3级转3-4级
天津,周三（30日）,多云转晴,18℃/8℃,西南风,<3级
天津,周四（31日）,晴,19℃/8℃,西北风转西南风,<3级
天津,周五（1日）,多云,20℃/10℃,西风转东北风,<3级转3-4级
天津,周六（2日）,晴,16℃/6℃,东风转西风,<3级
天津,周日（3日）,晴,16℃/7℃,西南风,<3级
天津,周一（4日）,晴转多云,18℃/9℃,西南风,<3级
天津,周二（5日）,多云,16℃/7℃,北风,3-4级转<3级
北京,周二（29日）,多云转晴,16℃/4℃,西北风转西风,3-4级转<3级
北京,周三（30日）,晴,17℃/6℃,西南风转西北风,<3级
北京,周四（31日）,晴,19℃/7℃,南风转西北风,<3级
北京,周五（1日）,多云转晴,20℃/8℃,西北风,<3级
北京,周六（2日）,晴,15℃/4℃,南风转西南风,<3级
北京,周日（3日）,晴,16℃/5℃,西南风转西风,<3级
北京,周一（4日）,晴转多云,18℃/8℃,南风转东北风,<3级
北京,周二（5日）,多云,16℃/5℃,东南风转东北风,<3级
