city,time,wea,tem,wind,wind_level
武陵源风景名胜区,周一（4日）,阴,19℃/11℃,东南风转西南风,<3级
武陵源风景名胜区,周二（5日）,阴,20℃/12℃,南风转北风,<3级
天涯海角游览区,周二（29日）,雨转多云,28℃/24℃,东北风,<3级转3-4级
天涯海角游览区,周三（30日）,雨转多云,28℃/23℃,东北风,<3级转3-4级
天涯海角游览区,周四（31日）,阴,28℃/23℃,东北风,3-4级
天涯海角游览区,周五（1日）,阴,26℃/23℃,东北风,3-4级转4-5级
天涯海角游览区,周六（2日）,阴转雨,26℃/24℃,东风,4-5级
天涯海角游览区,周日（3日）,雨,27℃/25℃,东北风,3-4级转4-5级
天涯海角游览区,周一（4日）,雨,26℃/25℃,东北风,4-5级转3-4级
天涯海角游览区,周二（5日）,雨转多云,26℃/24℃,东北风,3-4级
成都大熊猫繁育研究基地,周二（29日）,阴转雨,19℃/13℃,东南风转北风,<3级
成都大熊猫繁育研究基地,周三（30日）,多云转阴,19℃/12℃,东风转西南风,<3级
成都大熊猫繁育研究基地,周四（31日）,阴转多云,20℃/12℃,南风转东北风,<3级
成都大熊猫繁育研究基地,周五（1日）,雨,20℃/13℃,东南风转西风,<3级
成都大熊猫繁育研究基地,周六（2日）,雨,16℃/13℃,东北风,<3级
成都大熊猫繁育研究基地,周日（3日）,雨转多云,17℃/13℃,东北风转北风,<3级
成都大熊猫繁育研究基地,周一（4日）,多云,19℃/13℃,东风转东北风,<3级
成都大熊猫繁育研究基地,周二（5日）,多云,19℃/14℃,东风转东北风,<3级
布达拉宫,周二（29日）,多云,11℃/1℃,西南风转东风,<3级
布达拉宫,周三（30日）,多云转阴,10℃/1℃,南风转东南风,<3级
布达拉宫,周四（31日）,多云转雨,10℃/1℃,南风,<3级
布达拉宫,周五（1日）,雨转雨夹雪,7℃/0℃,南风,<3级
布达拉宫,周六（2日）,雨转晴,5℃/-1℃,南风,<3级
布达拉宫,周日（3日）,晴,5℃/-1℃,南风转东南风,<3级
布达拉宫,周一（4日）,多云,5℃/0℃,南风转东南风,3-4级转<3级
布达拉宫,周二（5日）,多云转雨夹雪,5℃/0℃,南风,<3级
碧海金沙,周二（29日）,晴转多云,21℃/14℃,东北风转北风,<3级
碧海金沙,周三（30日）,多云转阴,19℃/15℃,东南风转南风,<3级
碧海金沙,周四（31日）,晴,20℃/15℃,西南风转北风,<3级
碧海金沙,周五（1日）,晴,20℃/16℃,东风转东南风,<3级
碧海金沙,周六（2日）,晴,20℃/16℃,东北风转北风,<3级转3-4级
碧海金沙,周日（3日）,晴转多云,19℃/14℃,北风,<3级
碧海金沙,周一（4日）,晴,19℃/15℃,东北风转东南风,<3级
碧海金沙,周二（5日）,晴转多云,20℃/16℃,东南风转北风,<3级转3-4级
秦始皇陵,周二（29日）,晴转阴,18℃/9℃,北风转西南风,<3级
秦始皇陵,周三（30日）,晴转多云,19℃/9℃,西南风转南风,<3级
秦始皇陵,周四（31日）,多云,20℃/10℃,东北风转西北风,<3级
秦始皇陵,周五（1日）,晴,21℃/11℃,西北风转东北风,<3级
秦始皇陵,周六（2日）,晴转多云,21℃/12℃,东风转东南风,<3级
秦始皇陵,周日（3日）,晴转多云,19℃/11℃,东南风,<3级
秦始皇陵,周一（4日）,多云转晴,20℃/12℃,东南风,<3级
秦始皇陵,周二（5日）,多云,21℃/12℃,东风,<3级
承德避暑山庄,周二（29日）,晴,9℃/0℃,西南风转西风,3-4级转<3级
承德避暑山庄,周三（30日）,晴,13℃/2℃,西风,<3级
承德避暑山庄,周四（31日）,晴,16℃/3℃,西风转西北风,<3级
承德避暑山庄,周五（1日）,多云转晴,16℃/5℃,西北风转东北风,<3级
承德避暑山庄,周六（2日）,晴,11℃/1℃,西南风转西风,<3级
承德避暑山庄,周日（3日）,晴,11℃/2℃,西南风转西风,<3级
承德避暑山庄,周一（4日）,晴转多云,14℃/4℃,西南风转东北风,<3级
承德避暑山庄,周二（5日）,多云转阴,11℃/1℃,东风转南风,<3级
三峡大瀑布,周二（29日）,阴,20℃/10℃,南风转西北风,<3级
三峡大瀑布,周三（30日）,雨转晴,21℃/11℃,西北风,<3级
三峡大瀑布,周四（31日）,晴,23℃/11℃,南风转北风,<3级
三峡大瀑布,周五（1日）,晴,24℃/13℃,东风转西北风,<3级
三峡大瀑布,周六（2日）,晴,24℃/14℃,东风转北风,<3级
三峡大瀑布,周日（3日）,多云,21℃/11℃,东风转西北风,<3级
三峡大瀑布,周一（4日）,多云,22℃/13℃,东南风转西风,<3级
三峡大瀑布,周二（5日）,多云转阴,23℃/15℃,南风转北风,<3级
黄山风景区,周二（29日）,晴转多云,20℃/8℃,北风转东北风,<3级
黄山风景区,周三（30日）,阴,19℃/9℃,东北风转东风,<3级
黄山风景区,周四（31日）,晴,21℃/9℃,东北风转东风,<3级
黄山风景区,周五（1日）,晴,22℃/9℃,东北风,<3级
黄山风景区,周六（2日）,晴转阴,23℃/10℃,东北风转北风,<3级
黄山风景区,周日（3日）,多云转阴,19℃/7℃,东北风转东风,<3级
黄山风景区,周一（4日）,多云,21℃/8℃,东北风转东南风,<3级
黄山风景区,周二（5日）,多云,23℃/10℃,北风,<3级
拙政园,周二（29日）,晴转多云,22℃/10℃,北风,<3级
拙政园,周三（30日）,多云转阴,20℃/12℃,东南风转南风,<3级
拙政园,周四（31日）,晴,22℃/11℃,西风转北风,<3级
拙政园,周五（1日）,晴,22℃/13℃,东风转东南风,<3级
拙政园,周六（2日）,晴,23℃/13℃,东北风转北风,<3级
拙政园,周日（3日）,晴转多云,20℃/11℃,东北风转东风,<3级
拙政园,周一（4日）,晴,20℃/12℃,东南风,<3级
拙政园,周二（5日）,晴转多云,23℃/14℃,东南风转北风,<3级
西湖,周二（29日）,晴转多云,23℃/11℃,北风,<3级
西湖,周三（30日）,多云转阴,21℃/11℃,东南风,<3级
西湖,周四（31日）,晴,22℃/10℃,东风转西北风,<3级
西湖,周五（1日）,晴,23℃/11℃,东风转东南风,<3级
西湖,周六（2日）,晴转多云,23℃/13℃,东北风转北风,<3级
西湖,周日（3日）,多云,20℃/10℃,东北风转东风,<3级
西湖,周一（4日）,晴转多云,21℃/11℃,东南风,<3级
西湖,周二（5日）,晴转多云,23℃/13℃,东南风转北风,<3级
故宫博物院,周二（29日）,多云转晴,16℃/3℃,西北风转西风,3-4级转<3级
故宫博物院,周三（30日）,多云转晴,17℃/6℃,西南风转北风,<3级
故宫博物院,周四（31日）,晴,19℃/7℃,西南风转西北风,<3级
故宫博物院,周五（1日）,多云转晴,20℃/8℃,西北风,<3级
故宫博物院,周六（2日）,晴,15℃/4℃,南风转西南风,<3级
故宫博物院,周日（3日）,晴,16℃/5℃,西南风,<3级
故宫博物院,周一（4日）,晴转多云,18℃/7℃,西南风转东风,<3级
故宫博物院,周二（5日）,多云,16℃/5℃,东南风转东北风,<3级
灵川漓江景区,周二（29日）,晴转多云,19℃/12℃,北风,<3级
灵川漓江景区,周三（30日）,多云转晴,24℃/14℃,东北风,<3级
灵川漓江景区,周四（31日）,多云,25℃/14℃,北风,<3级
灵川漓江景区,周五（1日）,阴,26℃/15℃,东北风,<3级
灵川漓江景区,周六（2日）,阴,26℃/16℃,东北风,<3级
灵川漓江景区,周日（3日）,阴,26℃/16℃,东北风,<3级
灵川漓江景区,周一（4日）,多云,26℃/16℃,东北风,<3级
灵川漓江景区,周二（5日）,多云,27℃/18℃,南风转东北风,<3级
八达岭长城,周二（29日）,晴,9℃/0℃,西南风转西风,3-4级转<3级
八达岭长城,周三（30日）,晴,13℃/2℃,西风,<3级
八达岭长城,周四（31日）,晴,14℃/4℃,西风转西北风,<3级
八达岭长城,周五（1日）,阴转晴,15℃/3℃,西北风,<3级
八达岭长城,周六（2日）,晴,10℃/0℃,南风转西南风,<3级
八达岭长城,周日（3日）,晴,11℃/2℃,南风转西风,<3级
八达岭长城,周一（4日）,晴转多云,14℃/4℃,南风转东风,<3级
八达岭长城,周二（5日）,阴,10℃/0℃,东南风转南风,<3级
